name,address,birthdate,phone
Anthony Anderson,86-84 165th St,1982-04-24,646-458-9656
Sharon Hartman,1732 81st Way NE,1988-08-08,321-414-3703
Kara Nichols,132 SW 2nd Way,1978-08-24,513-394-4080
Amanda Benson,374½ S 1st St,1965-06-02,838-959-6869
Kaitlyn Steele,40-39 206th St,1995-07-27,315-750-8917
Allison Richmond,526 E 86th St,1985-01-09,516-698-4893
Christine Thompson,131-62 40th Rd,1973-02-17,585-339-7397
Scott Greene,202-8 45th Dr,1962-09-10,838-323-8407
Carrie Young,3095 SE 10th Ln,1969-08-01,956-868-1767
Laurie Mathews,86-45 188th St,1946-07-31,845-843-7134
Cheryl Edwards,2703 NW Park Way,1993-06-12,860-766-4855
Vanessa Brown,3491 7th Rd W,1973-12-14,207-891-8371
Donna Sanchez,758½ Castleton Ave,1996-04-28,516-635-6132
Michael Burgess,89 Rear-A Noble St,1966-07-05,585-871-1776
Kristy Fernandez,43-29 Ketcham St,1954-07-31,838-466-5625
Morgan Mills,422A Crown St,1962-01-05,914-685-7836
Jacob Miles,81A E 7th St,1974-09-02,315-649-5653
Rachel Hill,3035 SE Sunset Ln,1941-05-12,747-893-9043
Andrew Martinez,114 Waverly Pl,2001-01-19,914-362-2714
Miranda Hawkins,4317 Sea Gate Ave,1997-12-03,516-851-5709
Todd Baker,523A Fairview Ave,1959-04-20,631-524-3841
Brittney Moody,607 NW Park Dr,1982-09-11,325-912-0641
Jessica Rios,77-28 19th Rd,1969-04-09,315-469-4857
Kelsey Campos,651A Lydig Ave,1954-12-22,516-668-4363
Mary Vega,256 S Dogwood Way,1959-09-29,470-264-2830
Kenneth Guerra Jr.,765 E 161st St,1962-01-20,347-312-3713
Christopher Kennedy,30-67 85th St,1971-11-28,315-482-4832
Michele Carrillo,1059 Ogden Ave,1972-07-04,914-955-4685
Angela Norris,56-9 Van Horn St,1970-07-21,516-363-2764
Carlos Hanson,3671 S 10th Rd,1952-07-16,804-937-9043
Vincent Gonzalez,82-42 78th Ave,1995-11-26,914-603-0247
Kevin Fernandez,269A Woodbine St,1980-06-16,516-584-2937
Carlos Diaz,40-18 Broadway,1954-07-04,607-595-3385
Linda Donaldson,109-21 200th St,1993-08-12,516-672-1420
Kristin Wang,2858 E 197th St,1974-08-13,914-801-8911
Rebekah Davis,4608 3rd Ln,1962-03-01,386-430-5304
Kimberly Schroeder,4212 Park Pl E,1986-06-12,414-861-3285
April Adams,127-67 Willets Point Blvd,1950-05-04,516-574-7321
Jenna Davis,1827 NE 7th Rd,1953-05-07,448-358-7528
Shannon Jones,14 Maple Way,1958-02-22,717-534-8789
Ryan Baker,10-39 49th Ave,1999-08-31,212-814-8656
Michael Pearson,6638 Duryea Ct,1990-05-13,631-717-4258
Wendy Chambers,193-3 Union Turnpike,1971-09-05,212-734-7177
Joshua Peterson,100-75 148th St,1947-02-05,332-274-4185
Marc Santana,430 Lafayette Ave,1960-01-27,516-868-4983
Gina Chen,57-17 Grand Ave,1971-07-17,315-654-0221
Theodore Arroyo,534A E 89th St,1990-03-10,646-956-7929
Douglas Sanchez,5948 16th Ave,1986-09-19,516-293-2040
Kenneth Green,64 W 123rd St,1953-05-28,516-290-7360
David Evans,24-26 99th St,1960-06-07,332-876-1758
Patrick Farmer IV,2863 W 8th Ln,1958-09-30,929-509-5287
Anna King,111-4 Atlantic Ave,1979-05-01,838-551-9166
Kevin Norris,2096 White Plains Rd,1998-01-30,838-937-9713
John Murphy,61-32 Booth St,1981-07-29,315-505-8720
Daniel Weaver,3387 Rear Netherland Ave,1994-01-05,914-318-1798
David Miles,2754 E Park Dr,1984-08-10,830-871-2564
Shane Hansen,191 W 97th St,1985-03-17,315-996-4358
David Wilson,63-59 Jackie Robinson Pkwy,1960-05-26,585-975-3274
Laurie Emily Miles,116 Park Dr,1985-10-27,212-946-3550
Mary Harris,3108 Ely Ave,1976-07-07,607-719-2103
Dana Clark,4618 Main St,1976-06-02,986-797-6887
Elizabeth Hayes,1300B Clay Ave,1985-04-25,516-256-3000
Joseph Brown,46-9 196th Pl,1971-09-08,516-206-3941
Laura Price,297A E 8th St,1989-03-27,838-579-6367
Ana Curry,364 New Lots Ave,1940-10-26,585-431-1138
Kevin Ellis,48-47 40th St,1970-04-27,212-617-5736
Elizabeth Roach,240 W 41st Dr,1994-01-16,710-820-6844
Louis Ortiz,19-34 48th St,1966-12-02,631-789-1069
Jesse Jones,179-45 50th Ave,2001-04-15,585-274-0544
Lisa Smith,1011 Park Ln,1954-09-06,323-971-9214
Maria Velazquez,54-32 Van Horn St,1993-02-19,516-587-9942
Harold Miles,43½ Bushwick Ave,1957-12-21,315-594-9868
Donald Moon Jr.,2345A Gleason Ave,1968-02-26,516-815-8783
Garrett Gonzalez,64-1 Booth St,1981-09-16,315-536-4217
Joshua Harvey,150-76 28th Ave,1975-06-30,838-694-9628
Carla Ibarra,4653 Magnolia Ln S,1993-06-19,985-850-1819
Wayne Martinez II,26-30 21st St,1967-06-04,914-702-9198
Edward Walker,3603 Park Pl,1956-11-05,708-351-1691
Eric Wright Jr.,3023 NW 83rd Way,1949-06-22,239-270-0856
Matthew Wilson,555A Ave Of The Americas,1957-02-27,516-699-9976
Yolanda Lewis,186A S 8th St,1943-06-26,516-558-1081
George Chen,38 Bond St,1964-11-10,516-870-0773
James Fuller,2020B 3rd Ave,1984-09-16,631-431-2238
Heather Williams,1264 Park Ln S,2001-09-11,442-581-3775
Richard Williams,598 W 120th St,1975-03-24,914-936-7852
Darrell Gomez Jr.,227A Bleecker St,1990-06-19,315-675-0395
Danny Gomez,2461B Crotona Ave,1960-01-10,838-666-6506
John Richards,2693 Park St,1996-11-27,253-709-0789
Donald Beard,424-52 Dickens St,1986-05-24,838-756-1940
Crystal Lowe,4116 Park Rd,1989-07-19,848-742-4669
Tony Hernandez Jr.,937 NE Apache Rd,1956-06-10,480-781-0351
Gina Guerrero,2607 Heath Ave,1966-06-01,516-908-8761
Samuel Morales,553 Amsterdam Ave,1982-06-12,631-739-7686
John Stephens,1640 N Park Ave,1993-06-12,702-573-6174
Jennifer Cruz,1050 SE Park Pl,1948-06-20,803-740-6035
Adrian Walker,669 Rugby Rd,1962-08-18,516-255-3521
Allison Black,370 E 54th St,1974-03-14,838-235-5699
Jamie Tracy Henderson,420 SE Park Pl,1990-04-13,442-331-0306
Melissa Mann,53-53 Junction Blvd,1949-04-16,585-799-8333
Yvonne Brown,396 Park Way NE,1965-02-21,510-710-6155
Sean Aguilar,985A E Tremont Ave,1996-10-29,315-960-3121
Valerie Fernandez,944B E Tremont Ave,1947-09-02,838-818-9940
Michael Harris,903 Maple St NE,1959-11-02,906-669-0788
Katie Hansen,4482 Dogwood Rd,1968-09-22,865-287-8992
Elizabeth Clark,186 S 3rd St,1938-07-15,680-696-6254
Amanda Rodriguez,4537 Sunset Ave SW,1996-10-08,415-907-2683
Karen Dorsey,1427 N 7th Rd,1950-01-26,347-667-2404
Sam Rice,1998 E 5th Rd,1964-05-23,814-786-1232
Heather Hill,1450 S 1st Way,1991-12-26,432-935-2104
Ashley Barber,2292 E Park Way,1946-05-09,508-482-4008
Matthew Peters,20-73 49th St,1950-09-19,516-690-5907
David Kaufman III,1846 E Dogwood Pl,1955-06-07,423-484-9690
Sarah Graham,4629 W 10th Dr,1993-02-01,512-773-7187
Sarah Goodman,810 E 214th St,1946-06-28,212-362-6802
Steven Black,204-53 Gipson St,1985-10-16,347-380-7884
Alison Brooks,4740 Park Ave SE,1987-07-29,937-598-0919
Samuel Salinas,4752 13th Ln SE,1942-08-27,516-709-1639
Jennifer Richards,251 64th St,1936-02-24,585-235-6665
Amanda Edwards,145-20 60th Ave,1986-01-04,680-201-4453
Matthew Woods,3429 S 13th Ln,1988-09-02,806-206-8534
Jennifer Nolan,753 Main St,1985-12-22,716-936-6522
John Compton,2041 W Park Ave,1989-02-22,607-241-6760
Michael Frost Jr.,121 Fulton St,1998-09-11,914-884-3265
Veronica Higgins,317 Isabella Ave,1977-10-22,631-327-8529
Karen Jennifer Bryant,45 W 131st St,1978-05-15,585-578-9626
Bradley Cooper,233 SE 11th Ave,2000-09-17,937-763-8529
Danielle Perkins,139-96 Guy R Brewer Blvd,1956-01-19,516-676-9989
Haley Green,2420 Rear Arthur Ave,1990-04-13,516-626-2945
Kimberly Young,375 E 8th St,1985-07-29,315-921-8545
Michael Roberts,23-49 76th St,1950-12-15,680-919-0602
Daniel Murphy,2578 Apache Rd N,1978-06-18,928-494-5646
Erin Ball,2240 Cedar Ave,1979-08-28,347-292-3098
Christopher Peterson,3852 E 92nd Ave,1977-06-15,561-833-5334
Jennifer Gates,203-33 114th Dr,1997-05-08,838-677-6526
Steven Baker,1441A Clay Ave,1964-04-16,914-244-5966
Jessica Smith,2353 Seymour Ave,1997-04-18,914-305-0548
Brian Adams,3479 11th Ln,1953-06-25,239-290-1338
Nathan Williams,1343B Southern Blvd,1957-10-20,631-213-2120
Edward Roman,4458 W 1st Rd,2000-02-11,605-693-8020
Deborah Hernandez,435½ E 118th St,1992-02-04,716-528-2315
Kristy Nguyen,98-74 115th St,1948-01-01,212-855-3561
Brian Gonzalez,1839 Bogart Ave,1964-10-30,845-909-6920
Benjamin Saunders,136 Putnam Ave,1973-03-31,315-499-9671
Crystal Hernandez,1227 Findlay Ave,1952-05-27,332-204-9537
Kevin Vasquez,58-34 231st St,1981-08-27,716-476-7113
Eileen Elizabeth Mooney,1082 SE 10th Ave,1968-01-26,774-946-1459
Michael Rivers,1373 N Maple Ln,1942-09-26,681-572-0559
Angela Wagner,701 E 1st Rd,1977-09-18,978-519-6626
Joshua Case,396 Senator St,1938-06-04,914-237-8100
Amy Solis,56-39 58th Pl,1991-06-15,332-881-8853
Maria Mccoy,2025 Haviland Ave,1990-03-03,516-623-5034
Sandra Thompson,3078 N 68th St,1947-08-12,689-550-6391
Jeffrey Brandt,1560 Yates Ave,1954-02-22,838-841-3309
Erik Butler,581 W 168th St,1959-04-12,585-209-0657
Wesley Monroe,634 W 162nd St,1984-10-07,914-267-7536
Paul Gonzales,211-59 111th Ave,1936-02-26,646-860-4966
Mathew Perez III,4891 Broadway,1982-03-26,917-517-8106
Emily Perez,211 63rd St,1992-12-08,585-994-1773
Jim Hill,1426 W 8th Ln,1942-09-28,315-786-0540
Amanda Davis,776A E 214th St,1999-01-15,315-705-9297
Joshua Garrison,2460 Park St,1953-11-04,425-619-7356
Corey Savage,272 Windsor Pl,1976-12-16,631-421-8798
Joshua Ellison,723 E 100th St,1966-12-18,212-934-5930
Sandy Sims,3599 N Cedar Dr,1972-04-18,831-844-5329
Christine Stewart,2398 Park Ave,1968-03-03,971-235-7975
Amanda Huber,4538 Dogwood Ave N,1988-01-25,615-614-0055
Kevin Tran,1948A 53rd St,1981-07-07,607-715-4630
Earl Horn II,121-27 34th Ave,1959-06-24,929-690-7217
Cesar Smith,3946 Rear Park Ave,1956-06-15,716-415-1417
Paul Park,21-8 19th St,1946-05-29,315-868-8966
Nick Clark,95A Division Ave,1995-10-27,716-745-6936
Mary Hicks,73 SE Park Ave,1988-05-04,315-459-5821
Danielle Higgins,1104A Simpson St,1959-06-02,838-312-0555
Karen Vance,796 Atlantic Ave,1956-03-27,516-785-4684
Jesse Wells,312 S End Ave,1961-02-22,680-876-8985
Melissa Jones,3455 N Park Way,1971-12-04,424-916-2125
Mary Orozco,6625 Duryea Ct,1961-12-23,516-520-5415
Christian White,104 W Fordham Rd,1935-06-28,585-324-5007
Christina Powell,10195 Glenwood Rd,1992-06-10,838-738-6881
Wesley White,35-35 30th St,1954-02-24,838-690-1305
Leslie Harper,1563 Yates Ave,1959-07-11,914-207-2682
William Castro,624 Armstrong Ave,1975-01-15,838-203-6427
Susan Dixon,1162A 49th St,1944-03-08,516-932-2767
Jerry Martinez IV,2780 N Park Ln,1962-07-06,803-762-9404
Emily Barton,3488 Rochambeau Ave,1993-10-03,929-323-4531
David Holt,209C Hart St,1947-01-27,516-854-3257
Charles Watkins,2250 3rd Ave,1992-02-17,631-704-0555
Ronnie Ortiz,799 E 233rd St,1967-05-29,838-950-5338
Alexa Kelly Juarez,129-52 234th St,1970-05-24,516-403-8717
Natalie Dixon,3739 W Park Ln,1976-11-14,682-389-8029
David Romero,2323A Jerome Ave,1994-12-13,716-864-1961
Joshua Potter,4955 12th Dr SE,1998-08-17,808-789-2162
Robert Johnson,132-13 60th Ave,1992-11-08,716-643-5653
Christopher Gardner,163 Ridge St,1989-12-24,315-914-7234
Michael Davis,497 Midwood St,1985-06-11,914-652-4485
Jeremy Nunez,3033 6th Dr N,1973-11-24,304-725-8248
Teresa Castillo,2835 Spruce St,1977-04-24,970-958-6572
Paul Chung,1323 Walton Ave,1977-02-03,516-367-6666
Mark Flores,1112N College Ave,1962-02-26,315-559-8008
Michael Dixon,88-20 90th St,1965-12-15,838-641-8642
Heather Hopkins,1612 41st St,1974-03-02,838-414-4612
Laura Burns,1091A Amsterdam Ave,1964-05-14,838-433-9909
Nicole Gonzalez,184 Battery Ave,1958-07-08,516-878-0551
Maria Flynn,2993 E Park Ln,1954-12-10,424-565-4718
Felicia Baker,215-5 50th Ave,1978-12-16,516-829-5119
Diamond Cook,285 Park Pl,1991-01-18,817-270-0306
Michael Simpson,1247 Harrod Ave,1945-09-12,516-531-5093
Richard Beltran,97-15 38th Ave,1997-06-18,607-496-3008
Derrick Schneider,1686 S 13th Dr,1990-12-15,585-780-2123
Jessica Alvarado,94 Gelston Ave,1955-03-16,332-794-9638
Bianca Montoya,1010 Park Way SE,1981-07-10,574-871-6785
Jeffery Little,89-11 109th St,1962-10-09,315-262-5455
James Morales,119-20 Weeks Ln,1959-09-15,838-495-5092
John Wong,43½ E 75th St,1997-04-17,516-908-4842
Ricky Nelson Jr.,98 Bay 17th St,1967-06-05,716-679-7916
Steve Gomez,921 Hampton Ave,1959-12-27,516-625-5610
Sara Mercado,2013 Webster Ave,1979-08-16,929-935-4146
John Martinez,92A E 50th St,1967-05-07,315-476-1587
Dylan Burns,28 Park Ave NE,1946-12-24,281-510-5555
Wendy Holloway,276 Amber St,1980-07-09,716-591-2337
Christine Watson,97-2 186th St,1987-06-15,914-761-4212
Eric Edwards,59-72 69th Ave,1971-12-19,585-307-4580
Tanner Irwin,2096 SE 3rd Dr,1965-09-06,806-678-8575
Robert Harrell,1378A Ave Y,1992-12-24,680-740-6893
Denise Mikayla Graham,64 W 71st St,1989-01-30,516-636-3193
Rachael Morris,2604 NW 9th Ln,1953-07-13,339-261-8959
Stephen White,458A Powell St,1947-11-16,838-491-4326
Melanie Anderson,535 Coney Island Ave,1948-10-20,516-963-6698
Donna Melissa Love,130-34 Cross Bay Blvd,1984-03-12,914-981-0987
Crystal Perez,171-26 28th Ave,1979-08-13,607-942-2405
Mary Mora,273 Bay Ridge Pkwy,1974-08-15,332-596-7614
Jessica Smith,913 E 77th St,1966-06-10,914-943-2503
William Smith,53B Watchogue Rd,1954-06-10,212-577-8126
Logan Patterson,4037 Park Pl SW,1949-07-28,949-823-2101
Allison Sparks,668½ Annadale Rd,1947-12-07,929-699-3859
Kelly Ramirez,875 Cypress Way,1986-10-16,707-784-3279
Jerry Navarro,1886 Tenbroeck Ave,1974-02-02,516-625-6310
Nick Osborn,5105 Surf Ave,1953-09-21,585-888-7661
Donna Ford,3840 11th Ln,1984-09-07,719-595-9626
Cassandra Fisher,4332B Wickham Ave,1960-09-23,716-512-0994
Charles Stevenson,2897 Heath Ave,1992-01-15,516-544-7059
Joshua Knight,1202 83rd St,1981-09-22,332-811-1467
Jason Wright,164 Slater Blvd,1996-10-26,631-275-6456
Anthony Evans,81-92 Springfield Blvd,1951-09-11,716-980-7908
Corey Ramos,255C Jewett Ave,1959-04-29,914-289-8579
John Morris,40 Hart St,1974-07-22,585-736-0693
Christopher Coleman,1297A Ocean Ave,1986-07-22,716-453-6663
Alan Hartman,46-33 156th St,1971-01-28,518-971-2918
Victoria Gonzalez,56½ E 118th St,1986-10-04,516-462-4246
Sabrina Harper,1402 NE 2nd Pl,1962-06-05,516-834-8964
James White,4574 Oak Way SW,1982-08-06,650-689-1711
Mary Smith,28-2 94th St,1977-12-12,716-684-3222
John Newton,17-55 Broadway,1995-08-14,631-414-7319
Brian Erickson,1949 Dogwood Ave N,1997-01-21,704-243-1530
Linda Denise Brown,111B W End Ave,1964-05-06,680-309-7457
Cameron Gray,1119A Park Ave,1964-08-19,315-600-3984
Nancy Sanders,356 62nd St,1944-04-04,516-565-7472
Michael Hess,4917 N Dogwood Pl,1969-07-06,910-638-5621
Alexander Turner,66 Bidwell Ave,1967-03-29,585-264-7585
Anne Mccoy,3584 Lee Dr SW,1980-12-08,703-534-1538
Janice Jones,769½ Vincent Ave,2001-12-31,838-851-0541
James Johnson,1453A Ogden Ave,1956-01-21,585-865-6035
Patty Smith,927 Winthrop St,1994-09-05,315-314-5151
Jeffrey Vargas,1089-1 Grand St,1988-08-13,332-571-9153
Paul Nguyen,464 Thomas S Boyland St,1972-04-29,838-516-0812
Andrea Roach,1190A Clay Ave,1959-05-01,585-541-6411
Michael Ward,86-26 Francis Lewis Blvd,2000-11-20,347-319-0583
James Murray,258 W Park Ln,1971-11-28,937-819-3636
Melody Whitaker,48-18 Woodside Ave,1989-10-04,516-369-5819
Richard Smith,1698 Ocean Ave,1981-05-10,585-315-8558
Philip Welch,4416 Sunset Dr,1987-04-03,928-627-5515
Vanessa Freeman,4642 Park Rd,1963-07-05,315-955-0790
Donald Robinson,64 Fulton St,1980-03-08,680-244-4434
Danny Bell,88-29 Roosevelt Ave,1948-03-10,838-606-3487
Phillip Burns,37 Sherman St,1987-09-27,315-847-8080
Gary Lambert,96-26 Dickens St,1946-12-22,516-664-6879
Elizabeth Robinson,9298 Ave A,1982-05-02,914-462-5381
Gary Miller,395 Rodney St,1960-09-26,315-778-8601
Caitlin Hill,117-35 78th St,1967-08-21,838-889-1319
Brooke Jacobs,6692C Broadway,1954-03-13,585-801-5994
Laura Payne,609 Prospect Ave,1991-07-23,838-549-7064
Julie Williams,36-55 89th St,1998-12-07,929-877-2721
Charles Miller,24-20 21st St,1998-03-10,680-407-3288
Garrett Hurley,2499 7th Rd,1984-06-22,656-348-8949
Sean Reid,124-13 135th St,1965-09-03,838-723-1701
Jessica Johnson,221 Wadsworth Ave,1999-11-06,516-274-5120
Jessica Ortega,8 Rear Devoe St,1998-05-31,315-553-8715
Gregory Ramos,114-30 141st St,1981-11-02,516-225-4899
Kyle Porter,2183 Main Ave SW,1992-11-16,605-388-0431
Gabriela Forbes,42-29 48th Ave,1960-11-05,838-689-4762
Cory Hopkins,115-28 Gipson St,1936-12-07,838-288-7943
Kara Rangel,2150 Union St,1962-04-25,315-574-8625
Cory Mcdonald,2955 Wallace Ave,1956-02-18,516-938-7983
Dominique Davis,1092 62nd St,1997-07-11,838-504-1060
Kristen Kelley,4898B Hylan Blvd,1959-06-25,516-439-2763
Brent Miller,979A 39th St,1989-11-14,585-323-1943
Jason Thompson,1858B Crotona Ave,1991-10-06,315-818-1077
Eric Shaw,2545A Bedford Ave,1965-10-13,917-670-9309
Dennis Perez,2363 W 3rd Pl,1976-06-11,346-270-1442
Rachel Sherman,2103 NE 1st Ave,1961-11-03,704-451-9798
Jennifer Robinson,956 Park Ave,1984-02-09,838-435-5600
Sophia Gamble,339 S 32nd Way,1990-04-10,656-505-7616
Donald Haynes,179-38 Grand Central Pkwy,1990-11-30,914-930-9457
Julie Rosario,447 Herkimer St,1965-02-10,518-311-9063
Stephanie Brown,907A Ogden Ave,1994-04-30,585-282-9190
Edward Ortiz Jr.,227A 27th Ave,1976-03-25,716-433-3757
Allison Garcia,48-25 Lawrence St,1952-08-26,631-371-5880
Pamela Houston,2350A Church Ave,1990-06-23,516-370-4749
David Gutierrez,104-58 110th St,1949-10-12,516-435-7485
Lori Elizabeth Smith,105-22 Sutter Ave,1986-03-03,838-601-2887
Maria Amy Williams,789 N Quail Dr,1969-10-19,928-460-0666
Ashley Williams,4478 Park Pl,1987-06-09,253-668-8801
Theresa Glover,1524 7th Rd E,1964-10-24,682-537-2043
Keith Villarreal,26-19 210th St,1966-10-05,914-381-4990
Pamela Townsend,1308A Ogden Ave,1955-01-25,315-924-4072
Debra Davis,2637 23rd Way,1978-10-24,448-353-5208
Kendra Mack,68-33 Woodhaven Blvd,1976-12-16,914-459-0901
Beth Flores,1640 Apache Ln,2000-09-20,928-589-4817
Amber Samantha Bullock,407 44th St,1965-09-05,680-417-5618
Ricardo Navarro,46-47 Springfield Blvd,1999-12-14,315-502-0403
Danielle Adams,1125 Halsey St,1995-08-10,716-207-7800
Allison Hood,19-47 202nd St,1971-06-14,585-265-9661
Warren Powers,1245 61st St,1957-02-27,585-492-7701
Melinda York,4 Cooper Pl,1960-04-01,315-675-6946
Vanessa Reyes,1674 W 1st Ln,1981-02-16,415-330-9417
Matthew Peterson,2245B White Plains Rd,1985-03-01,838-677-4713
Paul Baird,4796 9th Dr N,1962-12-24,941-992-4047
Cody Reyes,74½ Overlook Ave,1950-02-18,838-386-9812
Gina Karen Sanders,241 W 30th St,1985-01-24,585-643-2625
Holly Hernandez,3829 13th Rd E,1945-11-14,564-847-8031
Benjamin Cohen,1323 Ocean Ave,1994-04-12,315-961-2189
Scott Brown,2351 Park Way SE,1984-04-25,857-617-2542
Kenneth Wagner,950 Park Ln,1955-06-08,707-703-1795
Jessica Peterson,91-45 95th St,1964-02-04,716-523-7693
Alexander Simmons,1550A E 12th St,2000-10-15,585-261-0925
Bryan Roberts,96 W Park Ave,1955-02-12,682-239-2197
David Larsen,2005B 3rd Ave,1959-03-06,585-510-3702
Seth Williams,119-58 218th St,1998-08-06,516-415-4345
Elizabeth Lewis,3700 6th St NW,1993-06-07,239-899-0030
Sara Berg,254 W 88th St,1981-02-18,585-719-5917
Amy Carpenter,436B Manida St,1948-01-22,315-519-5660
Gary Lowe,4272 Maple Ln NE,1974-08-09,734-956-6477
Stephen Lang,13-61 Davies Rd,1963-02-17,838-661-8574
Barry Rodriguez,4120 12th Pl,1998-06-04,726-910-5964
Karen Sanchez,138-66 71st Ave,1977-03-30,631-896-7238
Jerome Rowe,376 Arlene St,1982-06-05,516-544-1996
Steven Barrett II,4091 Park Ave,1967-12-10,516-274-9228
Sarah Davis,2240 Magnolia Ave W,1988-03-06,985-629-1171
Amy Sullivan,104-2 Otis Ave,1996-04-29,315-206-3241
Marcus Bryant,411 9th Dr W,1983-06-17,681-310-6840
Anna Compton,3971 5th Pl NW,1945-07-20,656-744-8536
Ricky Mckee,79-8 69th Dr,1955-07-05,838-227-3313
Melissa Gray,126 Henry St,1966-02-11,585-370-4944
James Lester,312A W 136th St,1981-04-17,516-240-0458
Robert Fisher,1088 Jerome Ave,1996-04-15,332-401-7405
Tyler Johnson,630 Myrtle Ave,1967-04-01,838-701-6325
Daniel Jones,146-8 15th Ave,1999-03-29,315-508-3501
Kristine Ford,4592 Delafield Ave,1958-09-29,516-283-0582
Helen Mendoza,4249 S 1st Dr,1949-09-28,567-883-8371
Brittney Jones,1612 St Nicholas Ave,1958-11-20,315-898-2995
Jamie Sellers,70-13 70th St,1987-12-24,914-656-8678
Jamie Mcmillan,460 Herkimer St,1954-02-09,716-929-8686
Dana Calderon,2899 Rear W 19th St,1958-08-08,585-817-1476
Jake Thompson,22-26 Mott Ave,1955-04-29,516-989-9460
Dustin Williams,824 Penfield St,1967-09-28,332-933-3548
Thomas Smith,190 Central Park S,1986-12-20,680-684-3919
Heather Anderson,149 Marion St,1960-04-17,516-700-1609
Chad Davis,282 5th Way,1958-07-11,707-542-9188
Kathleen Brown,2673 3rd Pl E,1961-05-01,971-897-1841
Linda Hamilton,159A Menahan St,1965-09-19,516-993-6126
Cory Simpson,19-52 48th St,1984-08-02,315-506-2383
Alexandria Reyes,71C Bowery,1968-03-15,516-951-7369
Nicolas Garcia,458 W 23rd St,1965-03-24,315-256-7703
Erik Hart,4411 NE Park Way,1991-11-15,212-956-3577
Douglas Anderson,3360 Park Ln SE,1962-12-23,516-631-7525
Barry Pierce III,4841 NW Park Dr,1975-05-24,682-539-7945
Joseph Kaiser,4812 13th Dr SE,1952-07-30,339-740-6240
Regina Lopez,2341A Gleason Ave,1964-07-02,516-640-4198
Thomas Mccoy,271½ E 7th St,1973-04-17,212-274-7012
Christopher Nelson Jr.,4350 Richardson Ave,1974-06-03,680-802-5365
Justin Rodriguez,179 Park Way N,1966-08-25,507-536-8219
Robert Jacobson,2243A White Plains Rd,1982-04-19,838-265-5744
Nicholas Newton,178 Cortelyou Ave,1981-09-02,516-321-9428
Marcus Ramirez,618 Gar W 125th St,1964-05-13,315-977-9844
Omar Chambers,868B Southern Blvd,1957-12-04,914-664-2691
James Hall,956 Freeman St,1988-02-08,838-382-1587
Amber Mcknight,1144½ St Nicholas Ave,1950-11-21,631-324-1099
Kimberly Denise Conrad,98-20 197th St,1953-10-16,716-860-5398
Renee Sharon Washington,673A Fort Washington Ave,1994-12-03,315-697-7276
Randall Miller II,2024 NE Cedar Pl,1955-08-31,505-844-0668
Cameron Hernandez,663 NW Sunset Ln,1959-01-16,602-928-4637
Jeffrey Rogers,841A E Tremont Ave,1999-01-12,838-608-7339
Ralph Simmons,3336 NW Maple Dr,1991-06-24,906-206-7710
Jesse Porter,320 Remsen Ave,1961-06-12,716-803-7793
Jordan Montgomery,1031 Shore Blvd,1968-06-10,914-229-5562
Jose Robinson,1971 Linden Blvd,1989-11-06,718-924-8136
Patricia Holly Cruz,2258 Andrews Ave N,1996-12-04,516-413-8255
